session_code; participant_code; participant_label       ; participant_id_in_session; round_number; lottery_id   ; lottery_stake; lottery_name ; selected_lottery_name; selected_round; selected_option; selected_choice; selected_amount; cutoff_index; cutoff_amount; fine_cutoff_index; fine_cutoff_amount; fine_selected_choice; fine_selected_amount; num_failed_attempts; failed_too_many_1; failed_too_many_2; failed_too_many_3; quiz1; quiz2; quiz3; quiz4; quiz5; quiz6                 ; quiz6t; quiz7                                               ; quiz8                                                                       ; participant_time_started_utc; session2_start; session2_start_readable  ; session3_start; session3_start_readable  ; realized_period1_label; realized_period1_probability; realized_period1_abs_prob; realized_period2_label; realized_period2_probability; realized_period2_abs_prob; realized_period3_label; realized_period3_probability; realized_period3_abs_prob; final_outcome_label; final_payoff; treatment_group; treatment_die_roll; treatment_tree_version; treatment_offer; treatment_reported_value; treatment_last_stay_value; treatment_first_accept_value; treatment_offer_accepted; chf_1       ; chf_2       ; chf_3       ; chf_4       ; chf_5       ; chf_6       ; chf_7       ; chf_8       ; chf_9       ; chf_10      ; chf_11      ; chf_12      ; chf_13      ; chf_14      ; chf_15      ; chf_16      ; chf_17      ; chf_18      ; chf_19      ; chf_20
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            1; cali_loss_de ; lo           ; cali_loss_de ; Lottery 7            ;             10; Safe option    ;              12; -30            ;           11; -33          ;                  ;                   ;                     ;                     ;                   1;                 0;                 0;                 0; Yes  ; No   ; Yes  ; Yes  ; No   ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            2; cali_mix_pres; hi           ; cali_mix_pres; Lottery 7            ;             10; Safe option    ;              16; 532            ;           15; 489          ;                 2; 503               ;                    3; 511                 ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            3; cali_loss_st ; lo           ; cali_loss_st ; Lottery 7            ;             10; Safe option    ;              13; -27            ;           12; -30          ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            4; cali_mix     ; hi           ; cali_mix     ; Lottery 7            ;             10; Safe option    ;              15; 489            ;           14; 447          ;                 3; 468               ;                    4; 475                 ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            5; cali_gain    ; lo           ; cali_gain    ; Lottery 7            ;             10; Safe option    ;              12; 28             ;           11; 27           ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            6; cali_gain_st ; lo           ; cali_gain_st ; Lottery 7            ;             10; Safe option    ;              13; 30             ;           12; 28           ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            7; cali_loss    ; lo           ; cali_loss    ; Lottery 7            ;             10; Safe option    ;              12; -30            ;           11; -33          ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            8; cali_gain_de ; lo           ; cali_gain_de ; Lottery 7            ;             10; Safe option    ;              10; 25             ;            9; 24           ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;            9; lottery_4    ; lo           ; Lottery 4    ; Lottery 7            ;             10; Safe option    ;              16; -38            ;           15; -41          ;                  ;                   ;                     ;                     ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
i2g9x805    ; 24vadpmm        ; 5f39a2fd2d394917284dd66f;                         1;           10; lottery_7    ; hi           ; Lottery 7    ; Lottery 7            ;             10; Safe option    ;              14; -1599          ;           13; -1631        ;                 2; -1620             ;                    3; -1615               ;                   0;                 0;                 0;                 0;      ;      ;      ;      ;      ;                       ;       ;                                                     ;                                                                             ; 2026-04-30 08:30:14.335261  ;     1777788000; Sunday, 3 May at 06:00   ;     1778047200; Wednesday, 6 May at 06:00; -£315                 ;                          0.6;                       0.6; -£695                 ;                            1;                       0.6; -£400                 ;                          0.8;                      0.48; -£400              ; -1599       ;               0;                   ;                       ;                ;                         ;                          ;                             ;                         ; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Risky option; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option ; Safe option
